interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
1420,4.012638,11.96026,19.96759,27.98342
1430,4.014191,11.96078,19.9679,27.98364
1440,4.015753,11.96131,19.96822,27.98387
1450,4.017326,11.96183,19.96854,27.98409
1460,4.018909,11.96236,19.96885,27.98432
1470,4.020504,11.9629,19.96917,27.98455
1480,4.022107,11.96344,19.9695,27.98478
1490,4.023721,11.96398,19.96982,27.98501
1500,4.025345,11.96453,19.97015,27.98524
1510,4.02698,11.96508,19.97048,27.98548
1520,4.028625,11.96563,19.97081,27.98571
1530,4.03028,11.96619,19.97114,27.98595
1540,4.031944,11.96675,19.97148,27.98619
1550,4.03362,11.96731,19.97182,27.98643
1560,4.035305,11.96788,19.97216,27.98668
1570,4.037001,11.96845,19.9725,27.98692
1580,4.038706,11.96902,19.97284,27.98717
1590,4.040421,11.9696,19.97319,27.98741
1600,4.042147,11.97018,19.97354,27.98766
1610,4.043883,11.97077,19.97389,27.98791
1620,4.045629,11.97136,19.97424,27.98816
1630,4.047385,11.97195,19.9746,27.98842
1640,4.049151,11.97255,19.97496,27.98867
1650,4.050927,11.97315,19.97532,27.98893
1660,4.052713,11.97375,19.97568,27.98919
1670,4.054509,11.97436,19.97604,27.98944
1680,4.056315,11.97497,19.97641,27.98971
1690,4.058131,11.97559,19.97678,27.98997
1700,4.059957,11.97621,19.97715,27.99023
1710,4.061792,11.97683,19.97752,27.9905
1720,4.063638,11.97745,19.9779,27.99077
1730,4.065495,11.97808,19.97827,27.99104
1740,4.06736,11.97871,19.97865,27.99131
1750,4.069235,11.97935,19.97903,27.99158
1760,4.07112,11.97999,19.97942,27.99186
1770,4.073016,11.98064,19.9798,27.99213
1780,4.074921,11.98128,19.98019,27.99241
1790,4.076836,11.98193,19.98058,27.99269
1800,4.078761,11.98259,19.98098,27.99297
1810,4.080695,11.98325,19.98137,27.99325
1820,4.082639,11.98391,19.98176,27.99353
1830,4.084593,11.98457,19.98216,27.99381
1840,4.086557,11.98524,19.98256,27.9941
1850,4.088531,11.98591,19.98297,27.99439
1860,4.090514,11.98659,19.98337,27.99468
1870,4.092507,11.98727,19.98378,27.99497
1880,4.09451,11.98795,19.98419,27.99526
1890,4.096522,11.98864,19.9846,27.99556
1900,4.098545,11.98933,19.98502,27.99585
1910,4.100576,11.99003,19.98544,27.99615
1920,4.102618,11.99072,19.98585,27.99645
1930,4.104669,11.99142,19.98627,27.99675
1940,4.10673,11.99213,19.9867,27.99705
1950,4.1088,11.99284,19.98712,27.99735
1960,4.11088,11.99355,19.98755,27.99766
1970,4.112969,11.99427,19.98798,27.99796
1980,4.115068,11.99498,19.98841,27.99827
1990,4.117177,11.99571,19.98884,27.99858
2000,4.119296,11.99643,19.98928,27.99889
2010,4.121423,11.99716,19.98972,27.9992
2020,4.12356,11.9979,19.99016,27.99952
2030,4.125707,11.99863,19.9906,27.99984
2040,4.127863,11.99938,19.99104,28.00015
2050,4.130029,12.00012,19.99149,28.00047
2060,4.132204,12.00087,19.99194,28.00079
2070,4.134388,12.00162,19.99239,28.00111
2080,4.136582,12.00238,19.99285,28.00144
2090,4.138785,12.00314,19.9933,28.00176
2100,4.140998,12.0039,19.99376,28.00209
2110,4.14322,12.00466,19.99422,28.00242
2120,4.145452,12.00543,19.99468,28.00275
2130,4.147692,12.00621,19.99515,28.00308
2140,4.149942,12.00698,19.99561,28.00341
2150,4.152202,12.00776,19.99608,28.00375
2160,4.15447,12.00855,19.99655,28.00408
2170,4.156748,12.00933,19.99702,28.00442
2180,4.159035,12.01013,19.9975,28.00476
2190,4.161332,12.01092,19.99798,28.0051
2200,4.163638,12.01172,19.99846,28.00544
2210,4.165953,12.01252,19.99894,28.00579
2220,4.168277,12.01333,19.99942,28.00613
2230,4.17061,12.01414,19.9999,28.00648
2240,4.172953,12.01495,20.00039,28.00683
2250,4.175304,12.01577,20.00089,28.00718
2260,4.177665,12.01658,20.00138,28.00753
2270,4.180035,12.01741,20.00187,28.00788
2280,4.182414,12.01823,20.00237,28.00824
2290,4.184802,12.01907,20.00287,28.00859
2300,4.187199,12.0199,20.00337,28.00895
2310,4.189605,12.02074,20.00387,28.00931
2320,4.19202,12.02158,20.00438,28.00967
2330,4.194445,12.02242,20.00488,28.01004
2340,4.196878,12.02327,20.0054,28.0104
2350,4.19932,12.02413,20.00591,28.01077
2360,4.201772,12.02498,20.00642,28.01114
2370,4.204232,12.02584,20.00694,28.0115
2380,4.206702,12.0267,20.00746,28.01188
2390,4.209179,12.02757,20.00798,28.01225
2400,4.211667,12.02844,20.0085,28.01262
2410,4.214163,12.02931,20.00902,28.013
2420,4.216668,12.03019,20.00955,28.01337
2430,4.219181,12.03107,20.01008,28.01375
2440,4.221704,12.03195,20.01061,28.01413
2450,4.224236,12.03284,20.01115,28.01451
2460,4.226776,12.03373,20.01168,28.01489
2470,4.229325,12.03463,20.01222,28.01527
2480,4.231883,12.03553,20.01276,28.01566
2490,4.234449,12.03643,20.0133,28.01605
2500,4.237026,12.03733,20.01385,28.01644
2510,4.239609,12.03824,20.01439,28.01683
2520,4.242203,12.03916,20.01494,28.01722
2530,4.244804,12.04007,20.01549,28.01761
2540,4.247414,12.04099,20.01604,28.01801
2550,4.250033,12.04191,20.0166,28.01841
2560,4.252661,12.04284,20.01716,28.0188
2570,4.255297,12.04377,20.01772,28.01921
