date,epoch,n_calls,sum_calls,peaks,snr,db_amps,low_snr,arrival_1,arrival_2,arrival_3,arrival_4,arrival_5,amp_1,amp_2,amp_3,amp_4,amp_5,err_1,err_2,err_3,err_4,err_5
2012-03-06T12:20:01.848154Z,1331036401.848154,1,12,1555.8408809083844,19.000419494438088,-127.34696067432927,11.520056337782378,0.3239902799675747,1.9999399998000627,3.6758897196323232,5.647830559435306,8.655740319134338,0.10278077419829507,1.0,0.10278077419829505,-0.002671250701890466,0.002961972118332582,0.46398607995365637,0.8359749199164526,0.5759827199424308,0.5799825999420136,0.3839884799615447
2012-03-06T12:22:01.848154Z,1331036521.848154,1,14,1524.0280016869701,18.998222891049103,-127.35135388110724,11.684994480940306,0.3239902799675747,1.9999399998000627,3.6758897196323232,7.551773439244698,8.671739839132897,0.09210032020545932,1.0,0.09210032020545932,2.6608499777210082e-05,0.0002450679721411851,0.4679859599532392,0.8359749199164526,0.5559833199442892,0.6439806799355665,0.39598811996029326
2012-03-06T12:24:01.848154Z,1331036641.848154,1,18,1707.3934812962675,18.891059913848686,-127.56567983550806,11.803817793515908,1.9999399998000627,5.655830319434472,7.547773559245115,8.67573971913248,,1.0,-0.01617270563351336,-0.011861864501973497,-0.011665265434129908,,0.9399717999060613,0.5999819999399278,0.6479805599351494,0.3919882399607104,
2012-03-06T12:26:01.848154Z,1331036761.848154,3,19,1561.0770838146893,18.855465169108545,-127.63686932498835,11.852185775771682,1.9999399998000627,5.663830079433637,7.51177463924887,8.671739839132897,,1.0,-0.016559500622367402,-0.015079299690334062,-0.013013790580603545,,0.9399717999060613,0.631981039936818,0.6559803199345424,0.3999879999598761,
2012-03-06T12:27:01.848154Z,1331036821.848154,2,21,1561.0770838146893,18.855465169108545,-127.63686932498835,11.964044633427207,1.9999399998000627,5.66782995943322,7.515774519248453,8.671739839132897,,1.0,-0.019008226908618583,-0.01746999788146569,-0.015762912501193552,,1.0199693998979456,0.6199813999378421,0.6479805599353767,0.3999879999598761,
2012-03-06T12:28:01.848154Z,1331036881.848154,2,21,1561.0770838146893,18.855465169108545,-127.63686932498835,11.964044633427207,1.9999399998000627,5.66782995943322,7.515774519248453,8.671739839132897,,1.0,-0.01886056438995654,-0.01755316382433814,-0.015814829942966173,,1.0199693998979456,0.6279811599372351,0.6479805599353767,0.39598811996029326,
2012-03-06T12:29:01.848154Z,1331036941.848154,2,21,1561.0770838146893,18.855465169108545,-127.63686932498835,11.964044633427207,1.9999399998000627,5.66782995943322,7.535773919246367,8.671739839132897,,1.0,-0.018002460543908586,-0.017133070832778586,-0.015171850594445658,,1.0199693998979456,0.631981039936818,0.631981039936818,0.39598811996029326,
2012-03-06T12:31:01.848154Z,1331037061.848154,1,20,1707.3934812962675,18.891059913848686,-127.56567983550806,11.986203384226986,1.9999399998000627,5.671829839432803,7.535773919246367,8.667739959133087,,1.0,-0.01690811856634511,-0.016000874610854376,-0.015056192717222147,,1.0279691598971112,0.631981039936818,0.6399807999359837,0.3919882399607104,
2012-03-06T12:32:01.848154Z,1331037121.848154,1,20,1707.3934812962675,18.891059913848686,-127.56567983550806,11.986203384226986,1.9999399998000627,5.671829839432803,7.531774039246784,8.667739959133087,,1.0,-0.016840205774073646,-0.016008181679366882,-0.014808275510254296,,1.0279691598971112,0.631981039936818,0.6359809199364008,0.3919882399607104,
2012-03-06T12:33:01.848154Z,1331037181.848154,2,19,1853.709878777846,18.92665465858883,-127.49449034602777,11.95599249806222,1.9999399998000627,5.683829479431552,7.531774039246784,8.667739959133087,,1.0,-0.01566447475997431,-0.014505356055818338,-0.013159813762443644,,1.0199693998979456,0.6599801999338979,0.6359809199364008,0.39598811996029326,
2012-03-06T12:34:01.848154Z,1331037241.848154,2,18,1859.8931013350953,18.891059913848686,-127.56567983550806,11.915734980959948,1.9999399998000627,5.687829359431134,7.531774039246784,8.67173983913267,,1.0,-0.014774492344971565,-0.013261534314707954,-0.011797920112312536,,1.0279691598971112,0.6679799599330636,0.6359809199361734,0.43998679995593193,
2012-03-06T12:35:01.848154Z,1331037301.848154,1,18,1859.8931013350953,18.891059913848686,-127.56567983550806,11.915734980959948,1.9999399998000627,5.687829359431362,7.539773799246177,8.671739839132897,,1.0,-0.013110064072164978,-0.012130701971019484,-0.01016807906587613,,1.027969159897566,0.6879793599309778,0.6159815199380319,0.4439866799552874,
2012-03-06T12:36:01.848154Z,1331037361.848154,1,17,1866.0763238923444,18.92665465858883,-127.49449034602777,11.923558796607512,1.9999399998000627,5.683829479431552,7.535773919246367,8.655740319134566,,1.0,-0.009401337556255102,-0.008391285395772202,-0.0066957912675052085,,1.0199693998979456,0.6879793599309778,0.6079817599388662,0.4559863199542633,
2012-03-06T12:37:01.848154Z,1331037421.848154,1,14,1923.2761668276207,19.033817635789244,-127.28016439162695,12.249248399820877,1.9999399998000627,5.631831039436747,7.535773919246367,8.63974079913578,,0.9999999999999999,-0.004468876406563769,0.00046404426358230035,0.002374809944257785,,1.0999669998900572,0.595982119940345,0.6039818799395107,0.6399807999359837,
2012-03-08T17:20:01.842897Z,1331227201.842897,1,3,1603.754020705287,15.205268757658034,-141.79400775140246,3.5409978834213915,1.999939999801427,7.2237832792779955,,,,1.0,0.20052718739594394,,,,1.7639470798203547,1.719948399830173,,,
2012-03-08T17:45:01.842897Z,1331228701.842897,1,3,3105.96264634525,15.728862155281458,-140.74682095615563,3.3414842451984335,1.999939999801427,7.663770079234382,,,,1.0,0.16661749846397417,,,,1.6919492398337752,1.6719498398342694,,,
