time,frequency
1448509619.15,18.0038715887
1448509622.23,16.9770836778
1448509664.85,18.0038715887
1448509668.14,17.1916363756
1448509682.65,21.9424461124
1448509686.44,22.3715515079
1448509704.49,17.3448883026
1448509735.68,17.5628848639
1448509753.34,21.7719748677
1448509775.82,17.8969396261
1448509794.08,21.204081772
1448509816.06,17.5096645133
1448509833.67,21.6360645736
1448509848.96,21.6710340656
1448509855.76,17.3523017991
1448509873.46,22.4753323825
1448509895.55,17.6670272275
1448510072.14,18.1450562098
1448510090.47,21.069141553
1448510111.94,20.1466622483
1448510130.51,20.4425518366
1448510151.89,20.3033096774
1448510169.81,20.4197322561
1448510191.38,17.3895727871
1448510209.34,20.6111107489
1448510231.08,16.7516444778
1448510248.16,20.9300749036
1448510269.58,16.9787243052
1448510287.26,22.1764624397
1448510312.75,19.2676365113
1448510330.35,22.3729240926
1448510351.33,19.1700365265
1448510369.39,21.5023956772
1448510390.23,18.2830830467
1448510408.4,21.5145365186
1448510428.51,18.087052992
1448510477.58,18.1542585514
1448510495.21,21.2793170609
1448510515.53,18.1114083783
1448510523.77,23.7242778482
1448510518.88,22.8389145092
1448510533.53,21.2853524238
1448510554.22,17.242750008
1448510558.34,22.8890294152
1448510572.06,21.4022872044
1448510592.42,17.7271940992
1448510610.58,21.9034362643
1448510595.6,17.0422903841
1448510631.45,17.2408728082
1448510649.75,22.1544959132
1448510670.7,17.8090104798
1448510653.03,19.6055539275
1448510688.56,21.4788727363
1448510709.12,17.5172641079
1448510634.53,17.071967014
1448510750.86,17.3005816212
1448510732.33,20.8468801413
1448510769.03,21.3914428354
1448510826.57,20.9000925775
1448510859.02,17.4824440109
1448510862.14,16.8927321014
1448510877.15,20.8832821482
1448510901.0,21.1731242018
1448510880.41,20.9476914934
1448510917.49,17.0348237693
1448510935.46,21.285840556
1448510957.43,17.4373821771
1448510975.17,21.5595802733
1451622021.39,17.010544115
1451622050.99,16.7904562077
1451622069.66,20.5466231588
1451622090.34,16.9811990607
1451622094.09,16.9958715878
1451622054.87,16.8491463163
1451622025.27,16.7464386262
1451622108.61,20.7355535959
1451622112.11,20.2185511426
1451622128.94,17.0131359316
1451622146.75,21.0309835693
1451622151.0,21.0752980653
1451622168.23,17.0426789289
1451622172.25,16.3779614888
1451622186.66,21.001440572
1451622190.97,20.7798680919
1451622208.14,17.0426789289
1451622212.56,16.3188754941
1451622238.3,17.0823866101
1451622242.3,16.6604710401
1451622256.39,20.7632362381
1451622278.48,17.0969354229
1451622282.91,17.1696794867
1451622296.08,21.2724446846
1451622300.37,22.4218008926
1451622317.48,17.1551306739
1451622321.24,17.3006188015
1451622347.18,17.167774285
1451622350.68,16.9263332733
1451622364.96,21.6983438581
1451622369.63,19.8804350639
1451622387.17,17.3950128843
1451622391.19,16.7701067363
1451622404.91,21.7977607453
1451622409.15,19.9940543635
1451622425.25,18.5028010558
1451622429.78,16.8127139736
1451622443.56,21.9564337345
1451622448.02,19.9824716034
1451622463.87,17.5865939023
1451622481.91,21.9715021477
1451622486.66,20.0427452562
1451622468.17,16.3660524319
1451622504.66,17.8126201005
1451622581.43,17.1790168306
1451622585.11,18.9415015762
1451622622.06,17.4759918823
1451622625.95,16.5282406394
1451622640.37,21.4891260514
1451622660.76,17.1946282321
1451622664.7,17.6981210799
1451622678.45,21.7556810884
1451622682.96,19.9638388949
1451622644.35,20.9115901377
1451622699.79,17.2686712979
1451622703.54,17.624078014
1451622717.33,19.545906069
1451622721.42,21.3431108501
1451622739.68,17.5966301142
1451622757.74,19.7671005036
1451622761.93,20.0435935469
1451622778.16,16.7395016802
1451622797.09,19.8223991123
1451622801.04,19.6703279385
1451622817.2,18.0596345039
1451622821.4,16.4720626156
1451622835.6,19.8033610042
1451622856.42,17.8384154703
1451622860.3,16.211804929
1451622874.13,20.4930438737
1451622895.36,18.5411112242
1451622913.95,20.4285129434
1451622918.38,20.669214405
1451622936.11,17.3247309389
1451622954.44,20.1624744859
1451622958.6,20.2258169758
1451622986.38,17.5907693964
1451622899.84,16.7419800319
1451623149.28,20.6484005548
1451623327.71,16.6771461526
1451623346.32,20.3344898744
1451623349.99,21.1631068114
1451623332.04,16.7628651461
1451623378.07,16.605713658
1451623382.01,18.0057905515
1451623396.95,20.7916578396
1451623400.89,20.734511844
1451623418.62,17.1343141178
1451623422.57,17.8343525646
1451623437.32,20.5116650582
1451623441.25,20.7121279885
1451623459.85,17.316787107
1451623477.76,20.0480945319
1451623500.26,17.141382043
1451623504.45,17.4671343047
1451623529.51,17.0304921969
1451623533.51,17.2136054422
1451623548.36,19.8335334134
1451623570.01,17.0586634654
1451623574.06,17.3403761505
1451623601.44,17.0304921969
1451623605.75,17.1431772709
1451623619.5,20.809446916
1451623641.36,16.9173928395
1451623645.61,16.9317546626
1451623659.97,20.5796577455
1451623681.79,16.8599455468
1451623699.36,20.5280982981
1451623720.23,17.0083468682
1451623724.35,16.9016877339
1451623751.28,17.1550031777
1451623755.6,16.6483722901
1451623770.24,19.9548054516
1451623774.22,21.2080502789
1451623835.9,17.0077777317
1451623868.48,16.9428701273
1451623886.6,20.7724187901
1451623910.78,16.7481473139
1451623942.29,16.7806011161
1451623960.47,20.5052081511
1451623989.75,16.8767392319
1451624008.41,20.1890345108
1451624030.05,16.4100067154
1451624048.18,21.5892320605
1451624066.96,19.406128354
1451624103.56,16.2631640145
1466371820.15,17.0940898457
1466371838.24,21.4603630584
1466371858.76,17.3550225078
1466371863.27,21.582131634
1466371881.22,16.8679482052
1466371899.41,20.4862144532
1479654628.52,21.4155652754
1479654665.69,22.0879104534
1479654700.67,21.8402043352
1479654735.58,21.8402043352
