time,frequency,datetime
1448509877.28,21.1672222266,2015-11-26T03:51:17.280000Z
1448509895.52,17.3564598698,2015-11-26T03:51:35.520000Z
1448509898.68,18.9849907915,2015-11-26T03:51:38.680000Z
1448510072.05,19.5247751143,2015-11-26T03:54:32.050000Z
1448510090.38,20.64683546,2015-11-26T03:54:50.380000Z
1448510112.33,17.3113958023,2015-11-26T03:55:12.330000Z
1448510130.34,20.0166371837,2015-11-26T03:55:30.340000Z
1448510133.79,21.061844081,2015-11-26T03:55:33.790000Z
1448510151.86,20.324050977,2015-11-26T03:55:51.860000Z
1448510169.8,20.3012108944,2015-11-26T03:56:09.800000Z
1448510172.73,21.2982986409,2015-11-26T03:56:12.730000Z
1448510191.05,19.9634876254,2015-11-26T03:56:31.050000Z
1448510194.23,17.1491270504,2015-11-26T03:56:34.230000Z
1448510209.32,20.4620314986,2015-11-26T03:56:49.320000Z
1448510211.95,21.3465448222,2015-11-26T03:56:51.950000Z
1448510230.78,16.6666652376,2015-11-26T03:57:10.780000Z
1448510233.34,17.020470567,2015-11-26T03:57:13.340000Z
1448510247.95,21.006579465,2015-11-26T03:57:27.950000Z
1448510250.98,20.7504605848,2015-11-26T03:57:30.980000Z
1448510269.48,16.923743198,2015-11-26T03:57:49.480000Z
1448510272.39,17.0744013628,2015-11-26T03:57:52.390000Z
1448510286.97,22.1365157012,2015-11-26T03:58:06.970000Z
1448510290.53,20.2080911914,2015-11-26T03:58:10.530000Z
1448510312.47,19.3493396518,2015-11-26T03:58:32.470000Z
1448510315.98,17.2551911606,2015-11-26T03:58:35.980000Z
1448510330.36,22.4632635356,2015-11-26T03:58:50.360000Z
1448510333.41,20.4223408211,2015-11-26T03:58:53.410000Z
1448510351.19,18.8815117518,2015-11-26T03:59:11.190000Z
1448510354.24,19.205896819,2015-11-26T03:59:14.240000Z
1448510369.26,21.490108334,2015-11-26T03:59:29.260000Z
1448510372.28,20.9494665553,2015-11-26T03:59:32.280000Z
1448510390.13,18.6111908624,2015-11-26T03:59:50.130000Z
