start_time,Station
2019-08-02T02:00:00.000000Z,AXBA1
2019-08-02T04:00:00.000000Z,AXBA1
2020-03-21T00:00:00.000000Z,AXBA1
2019-08-02T18:00:00.000000Z,AXBA1
2019-08-02T20:00:00.000000Z,AXBA1
2019-08-02T22:00:00.000000Z,AXBA1
2019-08-03T00:00:00.000000Z,AXBA1
2019-08-03T02:00:00.000000Z,AXBA1
2019-08-03T04:00:00.000000Z,AXBA1
2019-08-03T16:00:00.000000Z,AXBA1
2019-08-03T18:00:00.000000Z,AXBA1
2019-08-03T20:00:00.000000Z,AXBA1
2019-08-05T16:00:00.000000Z,AXBA1
2019-08-05T18:00:00.000000Z,AXBA1
2020-03-29T14:00:00.000000Z,AXBA1
2019-08-06T16:00:00.000000Z,AXBA1
2019-08-06T18:00:00.000000Z,AXBA1
2019-08-06T20:00:00.000000Z,AXBA1
2019-08-06T22:00:00.000000Z,AXBA1
2019-08-07T00:00:00.000000Z,AXBA1
2019-08-07T08:00:00.000000Z,AXBA1
2019-08-07T10:00:00.000000Z,AXBA1
2019-08-07T12:00:00.000000Z,AXBA1
2019-08-07T14:00:00.000000Z,AXBA1
2019-08-07T16:00:00.000000Z,AXBA1
2019-08-07T18:00:00.000000Z,AXBA1
2019-08-07T20:00:00.000000Z,AXBA1
2019-08-07T22:00:00.000000Z,AXBA1
2019-08-08T00:00:00.000000Z,AXBA1
2019-08-08T02:00:00.000000Z,AXBA1
2019-08-08T04:00:00.000000Z,AXBA1
2019-08-08T06:00:00.000000Z,AXBA1
2019-08-08T08:00:00.000000Z,AXBA1
2019-08-08T10:00:00.000000Z,AXBA1
2019-08-08T12:00:00.000000Z,AXBA1
2019-08-08T14:00:00.000000Z,AXBA1
2019-08-08T16:00:00.000000Z,AXBA1
2019-08-08T18:00:00.000000Z,AXBA1
2019-08-08T20:00:00.000000Z,AXBA1
2019-08-08T22:00:00.000000Z,AXBA1
2019-08-09T00:00:00.000000Z,AXBA1
2019-08-09T02:00:00.000000Z,AXBA1
2019-08-09T04:00:00.000000Z,AXBA1
2019-08-09T06:00:00.000000Z,AXBA1
2019-08-09T08:00:00.000000Z,AXBA1
2019-08-09T10:00:00.000000Z,AXBA1
2019-08-09T12:00:00.000000Z,AXBA1
2019-08-09T14:00:00.000000Z,AXBA1
2019-08-09T16:00:00.000000Z,AXBA1
2019-08-09T18:00:00.000000Z,AXBA1
2019-08-09T20:00:00.000000Z,AXBA1
2019-08-09T22:00:00.000000Z,AXBA1
2019-08-10T00:00:00.000000Z,AXBA1
2019-08-10T02:00:00.000000Z,AXBA1
2019-08-10T04:00:00.000000Z,AXBA1
2019-08-16T06:00:00.000000Z,AXBA1
2020-04-06T16:00:00.000000Z,AXBA1
2020-04-06T18:00:00.000000Z,AXBA1
2019-08-20T04:00:00.000000Z,AXBA1
2019-08-20T06:00:00.000000Z,AXBA1
2019-08-20T08:00:00.000000Z,AXBA1
2019-08-20T10:00:00.000000Z,AXBA1
2019-08-20T12:00:00.000000Z,AXBA1
2019-08-20T14:00:00.000000Z,AXBA1
2019-08-20T16:00:00.000000Z,AXBA1
2019-08-20T18:00:00.000000Z,AXBA1
2019-08-20T20:00:00.000000Z,AXBA1
2019-08-20T22:00:00.000000Z,AXBA1
2019-08-21T00:00:00.000000Z,AXBA1
2019-08-21T02:00:00.000000Z,AXBA1
2019-08-21T04:00:00.000000Z,AXBA1
2019-08-21T06:00:00.000000Z,AXBA1
2019-08-21T08:00:00.000000Z,AXBA1
2019-08-21T10:00:00.000000Z,AXBA1
2019-08-21T12:00:00.000000Z,AXBA1
2019-08-21T14:00:00.000000Z,AXBA1
2019-08-21T16:00:00.000000Z,AXBA1
2019-08-21T18:00:00.000000Z,AXBA1
2019-08-21T20:00:00.000000Z,AXBA1
2019-08-21T22:00:00.000000Z,AXBA1
2019-08-22T00:00:00.000000Z,AXBA1
2019-08-22T02:00:00.000000Z,AXBA1
2019-08-22T04:00:00.000000Z,AXBA1
2019-08-22T06:00:00.000000Z,AXBA1
2019-08-22T08:00:00.000000Z,AXBA1
2019-08-22T10:00:00.000000Z,AXBA1
2019-08-22T12:00:00.000000Z,AXBA1
2019-08-22T14:00:00.000000Z,AXBA1
2019-08-22T16:00:00.000000Z,AXBA1
2019-08-22T18:00:00.000000Z,AXBA1
2019-08-22T20:00:00.000000Z,AXBA1
2019-08-22T22:00:00.000000Z,AXBA1
2019-08-23T00:00:00.000000Z,AXBA1
2020-04-08T14:00:00.000000Z,AXBA1
2019-08-23T02:00:00.000000Z,AXBA1
2020-04-08T16:00:00.000000Z,AXBA1
2019-08-23T04:00:00.000000Z,AXBA1
2020-04-08T18:00:00.000000Z,AXBA1
2019-08-23T06:00:00.000000Z,AXBA1
2020-04-08T20:00:00.000000Z,AXBA1
2019-08-23T08:00:00.000000Z,AXBA1
2020-04-08T22:00:00.000000Z,AXBA1
2019-08-23T10:00:00.000000Z,AXBA1
2020-04-09T00:00:00.000000Z,AXBA1
2019-08-23T12:00:00.000000Z,AXBA1
2019-08-23T14:00:00.000000Z,AXBA1
2019-08-23T16:00:00.000000Z,AXBA1
2019-08-23T18:00:00.000000Z,AXBA1
2019-08-23T20:00:00.000000Z,AXBA1
2019-08-23T22:00:00.000000Z,AXBA1
2019-08-24T00:00:00.000000Z,AXBA1
2019-08-24T02:00:00.000000Z,AXBA1
2019-08-24T04:00:00.000000Z,AXBA1
2019-08-24T06:00:00.000000Z,AXBA1
2019-08-24T08:00:00.000000Z,AXBA1
2019-08-24T10:00:00.000000Z,AXBA1
2019-08-24T12:00:00.000000Z,AXBA1
2019-08-24T14:00:00.000000Z,AXBA1
2019-08-24T16:00:00.000000Z,AXBA1
2019-08-24T18:00:00.000000Z,AXBA1
2019-08-24T20:00:00.000000Z,AXBA1
2019-08-24T22:00:00.000000Z,AXBA1
2019-08-25T00:00:00.000000Z,AXBA1
2019-08-25T02:00:00.000000Z,AXBA1
2019-08-25T04:00:00.000000Z,AXBA1
2019-08-25T06:00:00.000000Z,AXBA1
2019-08-25T08:00:00.000000Z,AXBA1
2019-08-25T10:00:00.000000Z,AXBA1
2019-08-25T12:00:00.000000Z,AXBA1
2019-08-25T14:00:00.000000Z,AXBA1
2019-08-25T16:00:00.000000Z,AXBA1
2019-08-25T18:00:00.000000Z,AXBA1
2019-08-25T20:00:00.000000Z,AXBA1
2019-08-25T22:00:00.000000Z,AXBA1
2019-08-26T00:00:00.000000Z,AXBA1
2019-08-26T02:00:00.000000Z,AXBA1
2019-08-26T04:00:00.000000Z,AXBA1
2019-08-26T06:00:00.000000Z,AXBA1
2019-08-26T08:00:00.000000Z,AXBA1
2019-08-26T10:00:00.000000Z,AXBA1
2019-08-26T12:00:00.000000Z,AXBA1
2019-08-26T14:00:00.000000Z,AXBA1
2019-08-26T16:00:00.000000Z,AXBA1
2019-08-26T18:00:00.000000Z,AXBA1
2019-08-26T20:00:00.000000Z,AXBA1
2019-08-26T22:00:00.000000Z,AXBA1
2019-08-27T00:00:00.000000Z,AXBA1
2019-08-27T02:00:00.000000Z,AXBA1
2019-08-27T04:00:00.000000Z,AXBA1
2019-08-27T06:00:00.000000Z,AXBA1
2019-08-27T08:00:00.000000Z,AXBA1
2019-08-27T10:00:00.000000Z,AXBA1
2019-08-27T12:00:00.000000Z,AXBA1
2019-08-27T14:00:00.000000Z,AXBA1
2019-08-27T16:00:00.000000Z,AXBA1
2019-08-27T18:00:00.000000Z,AXBA1
2019-08-27T20:00:00.000000Z,AXBA1
2019-08-27T22:00:00.000000Z,AXBA1
2019-08-28T00:00:00.000000Z,AXBA1
2019-08-28T02:00:00.000000Z,AXBA1
2019-08-28T04:00:00.000000Z,AXBA1
2019-08-28T06:00:00.000000Z,AXBA1
2019-08-28T08:00:00.000000Z,AXBA1
