duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,quality
0.32,1441851262.16,2015-09-10T02:14:22.160000Z,0.812451959215,4.06225979608,1441851262.04,2015-09-10T02:14:22.040000Z,1441851261.84,2015-09-10T02:14:21.840000Z,,,19.5552095193,19.6881904644,19.5994724496,,,,0.5,
0.24,1441851266.68,2015-09-10T02:14:26.680000Z,0.413797349312,2.06898674656,1441851266.6,2015-09-10T02:14:26.600000Z,1441851266.44,2015-09-10T02:14:26.440000Z,,,21.7027114267,21.7572903029,21.7819639678,,,,0.5,
0.44,1441851270.76,2015-09-10T02:14:30.760000Z,1.26471960618,6.3235980309,1441851270.56,2015-09-10T02:14:30.560000Z,1441851270.32,2015-09-10T02:14:30.320000Z,,,19.4418138915,19.039419053,20.5430544391,,,,0.5,
0.28,1441851277.84,2015-09-10T02:14:37.840000Z,1.14805153302,5.74025766509,1441851277.72,2015-09-10T02:14:37.720000Z,1441851277.56,2015-09-10T02:14:37.560000Z,,,20.1819442544,20.2963326891,20.1951456397,,,,0.5,
0.24,1441851281.32,2015-09-10T02:14:41.320000Z,0.979333368314,4.89666684157,1441851281.24,2015-09-10T02:14:41.240000Z,1441851281.08,2015-09-10T02:14:41.080000Z,,,18.5164281789,18.3571052057,19.383175004,,,,0.5,
0.32,1441851290.76,2015-09-10T02:14:50.760000Z,0.435742838807,2.17871419404,1441851290.64,2015-09-10T02:14:50.640000Z,1441851290.44,2015-09-10T02:14:50.440000Z,,,20.7078462089,20.1721521966,20.9480110897,,,,0.5,
0.4,1441851299.96,2015-09-10T02:14:59.960000Z,2.43599675072,12.1799837536,1441851299.76,2015-09-10T02:14:59.760000Z,1441851299.56,2015-09-10T02:14:59.560000Z,,,20.3081237864,20.1798984303,20.7752832078,,,,0.5,
0.32,1441851311.44,2015-09-10T02:15:11.440000Z,0.813997456683,4.06998728342,1441851311.32,2015-09-10T02:15:11.320000Z,1441851311.12,2015-09-10T02:15:11.120000Z,,,19.5626233014,19.1581636998,20.3673351217,,,,0.5,
0.08,1441851318.72,2015-09-10T02:15:18.720000Z,0.16168703197,0.80843515985,1441851318.68,2015-09-10T02:15:18.680000Z,1441851318.64,2015-09-10T02:15:18.640000Z,,,18.5028907472,17.6324286354,19.2766933821,,,,0.5,
0.24,1441851328.64,2015-09-10T02:15:28.640000Z,0.801389268805,4.00694634402,1441851328.52,2015-09-10T02:15:28.520000Z,1441851328.4,2015-09-10T02:15:28.400000Z,,,22.0447529647,21.4879258208,22.2357974024,,,,0.5,
0.24,1441851359.88,2015-09-10T02:15:59.880000Z,0.505793005518,2.52896502759,1441851359.76,2015-09-10T02:15:59.760000Z,1441851359.64,2015-09-10T02:15:59.640000Z,,,20.945143086,20.3930205791,21.3740123237,,,,0.5,
0.6,1441851363.56,2015-09-10T02:16:03.560000Z,0.794362122504,3.97181061252,1441851363.4,2015-09-10T02:16:03.400000Z,1441851362.96,2015-09-10T02:16:02.960000Z,,,21.2903460847,21.325126473,21.652770804,,,,0.5,
0.28,1441851367.72,2015-09-10T02:16:07.720000Z,0.612158373801,3.060791869,1441851367.6,2015-09-10T02:16:07.600000Z,1441851367.44,2015-09-10T02:16:07.440000Z,,,21.4475136543,21.2485551544,22.1426943395,,,,0.5,
0.2,1441851381.52,2015-09-10T02:16:21.520000Z,0.180607960528,0.903039802639,1441851381.44,2015-09-10T02:16:21.440000Z,1441851381.32,2015-09-10T02:16:21.320000Z,,,20.3834909412,20.6044006367,20.5739321071,,,,0.5,
0.24,1441851401.76,2015-09-10T02:16:41.760000Z,0.677810353043,3.38905176522,1441851401.68,2015-09-10T02:16:41.680000Z,1441851401.52,2015-09-10T02:16:41.520000Z,,,19.8337988459,19.7973100936,20.3190341841,,,,0.5,
0.12,1441851403.88,2015-09-10T02:16:43.880000Z,0.232559440129,1.16279720064,1441851403.84,2015-09-10T02:16:43.840000Z,1441851403.76,2015-09-10T02:16:43.760000Z,,,22.8621905928,21.9469979427,23.1137209879,,,,0.5,
0.24,1441851409.8,2015-09-10T02:16:49.800000Z,0.380695588957,1.90347794479,1441851409.72,2015-09-10T02:16:49.720000Z,1441851409.56,2015-09-10T02:16:49.560000Z,,,21.0184005743,20.7396064095,21.3307630685,,,,0.5,
0.2,1441851421.4,2015-09-10T02:17:01.400000Z,0.194449094714,0.972245473571,1441851421.32,2015-09-10T02:17:01.320000Z,1441851421.2,2015-09-10T02:17:01.200000Z,,,19.7990601735,19.3597547534,20.7978354031,,,,0.5,
0.12,1441851429.08,2015-09-10T02:17:09.080000Z,0.1261113086,0.630556543002,1441851429.04,2015-09-10T02:17:09.040000Z,1441851428.96,2015-09-10T02:17:08.960000Z,,,21.7680912955,21.7356944946,21.6917014689,,,,0.5,
0.16,1441851436.2,2015-09-10T02:17:16.200000Z,0.214489158814,1.07244579407,1441851436.12,2015-09-10T02:17:16.120000Z,1441851436.04,2015-09-10T02:17:16.040000Z,,,21.0528441272,20.0526487203,21.6817475258,,,,0.5,
0.24,1441851446.96,2015-09-10T02:17:26.960000Z,0.454466758466,2.27233379233,1441851446.84,2015-09-10T02:17:26.840000Z,1441851446.72,2015-09-10T02:17:26.720000Z,,,21.2315342227,21.204708223,21.2641977502,,,,0.5,
0.24,1441851449.72,2015-09-10T02:17:29.720000Z,0.284855600721,1.4242780036,1441851449.6,2015-09-10T02:17:29.600000Z,1441851449.48,2015-09-10T02:17:29.480000Z,,,21.2542750744,19.7035463138,22.4303886747,,,,0.5,
0.2,1441851457.6,2015-09-10T02:17:37.600000Z,0.397121536884,1.98560768442,1441851457.52,2015-09-10T02:17:37.520000Z,1441851457.4,2015-09-10T02:17:37.400000Z,,,20.8204477536,20.6883285234,21.6204583679,,,,0.5,
0.28,1441851462.12,2015-09-10T02:17:42.120000Z,2.36760728089,11.8380364045,1441851462.0,2015-09-10T02:17:42.000000Z,1441851461.84,2015-09-10T02:17:41.840000Z,,,19.7452377839,19.7152389894,20.0120054605,,,,0.5,
0.2,1441851468.04,2015-09-10T02:17:48.040000Z,0.422474762184,2.11237381092,1441851467.96,2015-09-10T02:17:47.960000Z,1441851467.84,2015-09-10T02:17:47.840000Z,,,19.9459663956,19.613203569,20.9385593397,,,,0.5,
0.24,1441851483.88,2015-09-10T02:18:03.880000Z,0.924966346235,4.62483173117,1441851483.76,2015-09-10T02:18:03.760000Z,1441851483.64,2015-09-10T02:18:03.640000Z,,,22.1781863066,21.7671558423,22.2733708824,,,,0.5,
0.2,1441851489.04,2015-09-10T02:18:09.040000Z,0.273631123082,1.36815561541,1441851488.96,2015-09-10T02:18:08.960000Z,1441851488.84,2015-09-10T02:18:08.840000Z,,,20.9857012585,21.5569250738,20.734201649,,,,0.5,
0.84,1441851496.52,2015-09-10T02:18:16.520000Z,0.869354396206,4.34677198103,1441851495.88,2015-09-10T02:18:15.880000Z,1441851495.68,2015-09-10T02:18:15.680000Z,,,21.6419505165,22.0467034097,22.1527268276,,,,0.5,
0.36,1441851502.24,2015-09-10T02:18:22.240000Z,0.832726070775,4.16363035387,1441851502.08,2015-09-10T02:18:22.080000Z,1441851501.88,2015-09-10T02:18:21.880000Z,,,21.7608404571,21.6431641869,21.92542676,,,,0.5,
0.48,1441851505.24,2015-09-10T02:18:25.240000Z,0.891467021749,4.45733510875,1441851504.96,2015-09-10T02:18:24.960000Z,1441851504.76,2015-09-10T02:18:24.760000Z,,,21.8686710235,22.0575948781,21.8630704367,,,,0.5,
0.36,1441851509.0,2015-09-10T02:18:29.000000Z,1.04327616791,5.21638083957,1441851508.88,2015-09-10T02:18:28.880000Z,1441851508.64,2015-09-10T02:18:28.640000Z,,,21.1581324433,21.6748722633,21.2270255167,,,,0.5,
0.28,1441851513.48,2015-09-10T02:18:33.480000Z,0.436759231046,2.18379615523,1441851513.36,2015-09-10T02:18:33.360000Z,1441851513.2,2015-09-10T02:18:33.200000Z,,,21.9708843178,21.8859852725,21.9108878359,,,,0.5,
0.28,1441851516.24,2015-09-10T02:18:36.240000Z,0.422401485167,2.11200742584,1441851516.12,2015-09-10T02:18:36.120000Z,1441851515.96,2015-09-10T02:18:35.960000Z,,,22.1694218021,21.9370179372,21.7880364086,,,,0.5,
0.32,1441851518.32,2015-09-10T02:18:38.320000Z,0.793249917395,3.96624958697,1441851518.2,2015-09-10T02:18:38.200000Z,1441851518.0,2015-09-10T02:18:38.000000Z,,,22.5599163131,22.1952762985,22.9346812118,,,,0.5,
0.36,1441851529.72,2015-09-10T02:18:49.720000Z,1.15318623483,5.76593117417,1441851529.56,2015-09-10T02:18:49.560000Z,1441851529.36,2015-09-10T02:18:49.360000Z,,,22.0238455923,21.894868743,22.1760220046,,,,0.5,
0.28,1441851532.76,2015-09-10T02:18:52.760000Z,1.6733876213,8.36693810649,1441851532.64,2015-09-10T02:18:52.640000Z,1441851532.48,2015-09-10T02:18:52.480000Z,,,22.344993702,21.9912750959,22.369532665,,,,0.5,
0.36,1441851537.24,2015-09-10T02:18:57.240000Z,0.608203858344,3.04101929172,1441851537.04,2015-09-10T02:18:57.040000Z,1441851536.88,2015-09-10T02:18:56.880000Z,,,21.171098445,20.4745300367,21.9250404911,,,,0.5,
0.24,1441851549.84,2015-09-10T02:19:09.840000Z,1.32650457521,6.63252287603,1441851549.76,2015-09-10T02:19:09.760000Z,1441851549.6,2015-09-10T02:19:09.600000Z,,,21.941586501,21.8492256084,22.0581944149,,,,0.5,
0.4,1441851587.08,2015-09-10T02:19:47.080000Z,1.21504318101,6.07521590507,1441851586.92,2015-09-10T02:19:46.920000Z,1441851586.68,2015-09-10T02:19:46.680000Z,,,22.5799026051,22.7064827765,22.5511505289,,,,0.5,
0.12,1441851589.44,2015-09-10T02:19:49.440000Z,0.10830607883,0.541530394149,1441851589.4,2015-09-10T02:19:49.400000Z,1441851589.32,2015-09-10T02:19:49.320000Z,,,21.6882511427,21.1655133286,21.8818396764,,,,0.5,
0.24,1441851610.44,2015-09-10T02:20:10.440000Z,0.362872917519,1.8143645876,1441851610.36,2015-09-10T02:20:10.360000Z,1441851610.2,2015-09-10T02:20:10.200000Z,,,21.9556481545,20.7936850339,22.4747622671,,,,0.5,
0.32,1441851620.84,2015-09-10T02:20:20.840000Z,0.648584329757,3.24292164878,1441851620.72,2015-09-10T02:20:20.720000Z,1441851620.52,2015-09-10T02:20:20.520000Z,,,21.334534298,21.7618388079,21.1851158663,,,,0.5,
0.2,1441851632.84,2015-09-10T02:20:32.840000Z,0.130261912783,0.651309563916,1441851632.76,2015-09-10T02:20:32.760000Z,1441851632.64,2015-09-10T02:20:32.640000Z,,,20.3317232661,20.3284727761,20.6975576714,,,,0.5,
0.16,1441851646.6,2015-09-10T02:20:46.600000Z,0.178281669153,0.891408345766,1441851646.56,2015-09-10T02:20:46.560000Z,1441851646.44,2015-09-10T02:20:46.440000Z,,,21.1427881373,21.247666859,21.013041647,,,,0.5,
0.28,1441851648.68,2015-09-10T02:20:48.680000Z,0.846825141633,4.23412570816,1441851648.56,2015-09-10T02:20:48.560000Z,1441851648.4,2015-09-10T02:20:48.400000Z,,,20.0502820601,19.7665548725,20.7288085008,,,,0.5,
0.12,1441851652.36,2015-09-10T02:20:52.360000Z,0.161357265225,0.806786326124,1441851652.32,2015-09-10T02:20:52.320000Z,1441851652.24,2015-09-10T02:20:52.240000Z,,,21.7598675754,21.7655662482,21.3294599306,,,,0.5,
0.16,1441851658.32,2015-09-10T02:20:58.320000Z,0.299265196462,1.49632598231,1441851658.28,2015-09-10T02:20:58.280000Z,1441851658.16,2015-09-10T02:20:58.160000Z,,,21.4963567813,21.3843026141,21.3827782537,,,,0.5,
