duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,max_amp
4.35,,2019-07-15T05:53:14.900000Z,481.52427199,2407.62135995,1563169994.0,2019-07-15T05:53:14.000000Z,,2019-07-15T05:53:10.550000Z,,,21.1640361545,21.5145341157,20.9491654356,,,,350,-162.575899012
1.7,,2019-07-15T05:53:48.650000Z,328.904318058,1644.52159029,1563170028.25,2019-07-15T05:53:48.250000Z,,2019-07-15T05:53:46.950000Z,,,20.3162508084,20.536211086,20.779129468,,,,350,-162.324833719
2.9,,2019-07-15T05:54:26.400000Z,336.675461937,1675.95058961,1563170064.05,2019-07-15T05:54:24.050000Z,,2019-07-15T05:54:23.500000Z,,,22.029779112,22.5081408641,22.2251406637,,,,350,-164.285779947
3.55,,2019-07-15T05:54:54.700000Z,905.932960347,4297.22636615,1563170094.15,2019-07-15T05:54:54.150000Z,,2019-07-15T05:54:51.150000Z,,,21.2173408609,20.8345315555,21.6575537859,,,,350,-161.110776757
2.05,,2019-07-15T05:55:10.650000Z,269.646630423,561.040955438,1563170109.4,2019-07-15T05:55:09.400000Z,,2019-07-15T05:55:08.600000Z,,,20.9671003454,21.1446798819,21.0844336404,,,,350,-164.93134522
6.0,,2019-07-15T05:55:31.450000Z,2096.95072046,10252.3151667,1563170130.55,2019-07-15T05:55:30.550000Z,,2019-07-15T05:55:25.450000Z,,,21.5627638634,20.8438500347,22.1378969304,,,,350,-159.524686287
4.95,,2019-07-15T05:55:46.650000Z,157.38902753,680.70594016,1563170146.0,2019-07-15T05:55:46.000000Z,,2019-07-15T05:55:41.700000Z,,,21.5959222083,21.573455419,22.3043354386,,,,350,-165.606154055
1.8,,2019-07-15T05:56:05.750000Z,2751.9885788,13675.7998824,1563170164.5,2019-07-15T05:56:04.500000Z,,2019-07-15T05:56:03.950000Z,,,22.1316760799,22.70026731,22.3858193517,,,,350,-159.878962351
2.9,,2019-07-15T05:56:39.850000Z,1232.56109873,6162.80549366,1563170197.4,2019-07-15T05:56:37.400000Z,,2019-07-15T05:56:36.950000Z,,,19.8886297932,21.3747352071,19.4409930858,,,,350,-159.997163013
6.6,,2019-07-15T05:57:13.650000Z,1611.99512747,8059.97563733,1563170231.9,2019-07-15T05:57:11.900000Z,,2019-07-15T05:57:07.050000Z,,,19.7087233541,19.7222779893,18.6856912355,,,,350,-158.932983022
4.85,,2019-07-15T05:57:47.200000Z,1788.81581762,8944.07908811,1563170264.5,2019-07-15T05:57:44.500000Z,,2019-07-15T05:57:42.350000Z,,,20.003388949,20.6418899243,18.9605642114,,,,350,-159.511606373
2.05,,2019-07-15T05:58:01.200000Z,260.382959214,750.224775933,1563170279.85,2019-07-15T05:57:59.850000Z,,2019-07-15T05:57:59.150000Z,,,20.105346254,20.2013330913,20.3503031177,,,,350,-164.278987272
1.1,,2019-07-15T05:58:16.000000Z,905.979376016,4529.89688008,1563170295.75,2019-07-15T05:58:15.750000Z,,2019-07-15T05:58:14.900000Z,,,18.5927292409,18.7013765268,18.548080021,,,,350,-159.37100114
0.85,,2019-07-15T05:58:31.350000Z,131.480468034,657.402340169,1563170310.95,2019-07-15T05:58:30.950000Z,,2019-07-15T05:58:30.500000Z,,,19.4213684473,19.729331456,19.6442350509,,,,350,-163.494703707
2.5,,2019-07-15T05:58:54.150000Z,913.976592357,4569.88296178,1563170333.0,2019-07-15T05:58:53.000000Z,,2019-07-15T05:58:51.650000Z,,,19.3090199673,19.7291997974,19.9422352099,,,,350,-159.734047108
3.45,,2019-07-15T05:59:29.000000Z,266.26744197,1331.33720985,1563170366.35,2019-07-15T05:59:26.350000Z,,2019-07-15T05:59:25.550000Z,,,19.5425615959,19.9578027829,19.7022100343,,,,350,-162.244571056
0.7,,2019-07-15T07:29:24.350000Z,70.319002011,351.595010055,1563175764.0,2019-07-15T07:29:24.000000Z,,2019-07-15T07:29:23.650000Z,,,20.3061470924,20.4963756698,20.6238977574,,,,350,-147.797650838
0.55,,2019-07-15T07:50:10.750000Z,138.625066978,693.125334889,1563177010.5,2019-07-15T07:50:10.500000Z,,2019-07-15T07:50:10.200000Z,,,18.7385221298,18.8530637357,19.0447295172,,,,350,-145.599612243
