time,frequency
1479654982.07,16.3711466522
1479654999.2,20.6494583129
1479655004.49,17.295381227
1479655018.72,16.8183569303
1479655035.39,20.4109461646
1479655022.63,21.6184139155
1479654986.09,21.5438788691
1479655053.99,17.7873125329
1479655041.34,16.6245658098
1479655058.67,20.70908635
1479655072.03,20.9028774705
1479655078.4,17.4959370794
1479655106.17,16.8320585873
1479655124.24,20.5770141837
1479655143.69,16.8661036382
1479655161.58,20.4238114547
1479655183.87,17.2235766724
1479655221.16,17.9896609843
1479655238.64,20.3167044551
1479655256.86,16.8739552106
1479655273.84,22.4684227329
1479655293.56,16.7305073254
1479655310.53,22.452484079
1479655328.63,16.810200595
1479655381.38,16.5164981696
1479655399.52,20.2944184734
1479655418.74,17.0515684272
1479655436.43,20.9105599822
1479655455.65,17.0839969277
1479655472.95,20.7484174799
1479655491.92,16.9867114263
1479655510.23,20.4173559636
1479655528.42,17.0492933222
1479655546.23,20.4006823862
1479655565.2,16.8825575479
1479655582.68,20.6841332025
1479655602.04,16.7158217735
1479655619.33,20.4006823862
1479655639.51,16.3797162704
1479655656.43,20.5143500793
1479655677.14,16.9472150285
1479655693.9,22.1033466019
1479655713.19,17.3039285336
1479655729.64,22.038489601
1479655751.7,16.979643529
1479655768.77,20.9359205853
1479655787.98,16.6877870248
1483251718.28,16.5551598012
1483251735.66,22.081556558
1483251756.51,16.352974554
1483251773.9,19.2678118678
1483251798.07,17.6671786608
1483251832.71,20.4530977142
1483251841.68,16.8249798003
1483251872.76,20.4948002189
1483251881.5,17.1725006733
1483251912.81,20.4948002189
1483251920.11,16.8527814702
1483251948.09,20.8780318575
1483251930.59,17.0853088846
1483251989.91,21.5294537421
1483251958.8,17.4182578479
1483251975.08,21.9492589567
1483251998.56,17.4182578479
1483252014.48,22.1229714592
1483252027.98,22.2966839618
1483252037.36,17.2445453453
1483252067.26,22.3090509115
1483252106.85,20.2485157713
1483252088.68,17.0830559907
1483252127.83,17.1726444751
1483252145.62,20.3530356697
1483252186.1,19.3227680996
1483252160.3,16.5604564986
1483252265.62,21.2775857137
1483252249.97,20.0313122007
1483252293.29,16.6362912514
1483252319.07,18.5988139098
1483252304.15,21.2202857821
1483252336.61,20.303486876
1483252215.29,21.4638104915
1483252212.57,18.73943047
1483252352.25,21.2107401823
1483252376.09,21.1529135969
1483252368.99,16.9604861541
1483252395.26,17.1339659104
1483252413.65,21.4709598166
1483252433.99,16.8448329833
1483252451.42,20.6549229456
1483252471.94,16.5472340966
1483252489.24,21.4875625772
1483252510.4,16.8109033133
1483252527.97,21.4459305956
1483252546.83,17.1162045115
1483252553.89,18.132896474
1483252565.94,21.3241814072
1483252571.88,21.4499463307
1483252591.04,17.189659548
1483252601.27,21.3241814072
1483252608.62,21.2612989455
1483252621.79,17.0324533936
1483252639.31,21.4813875616
1483252658.47,17.1110564708
1483252676.14,20.4151506444
