duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,max_amp
0.55,,2020-03-01T10:24:55.250000Z,210.805987467,1054.02993734,1583058295.05,2020-03-01T10:24:55.050000Z,,2020-03-01T10:24:54.700000Z,,,17.4515824002,17.5352082465,17.5063437116,,,,350,-158.051886353
1.55,,2020-03-01T10:25:13.250000Z,236.627364116,1183.13682058,1583058312.15,2020-03-01T10:25:12.150000Z,,2020-03-01T10:25:11.700000Z,,,20.8422586361,21.0213693987,20.7751091196,,,,350,-160.627389637
0.6,,2020-03-01T10:25:36.800000Z,245.311577147,1226.55788574,1583058336.55,2020-03-01T10:25:36.550000Z,,2020-03-01T10:25:36.200000Z,,,18.0532665064,18.0998806802,17.9441260775,,,,350,-158.370932768
1.3,,2020-03-01T10:25:58.550000Z,152.210547979,761.052739894,1583058357.75,2020-03-01T10:25:57.750000Z,,2020-03-01T10:25:57.250000Z,,,20.426276901,20.2268035933,20.1214448304,,,,350,-160.533079845
0.6,,2020-03-01T10:26:18.300000Z,295.411100302,1477.05550151,1583058378.05,2020-03-01T10:26:18.050000Z,,2020-03-01T10:26:17.700000Z,,,17.8270221108,17.8335692845,17.9105480338,,,,350,-157.768140608
1.0,,2020-03-01T10:26:38.750000Z,180.592498137,902.962490687,1583058398.3,2020-03-01T10:26:38.300000Z,,2020-03-01T10:26:37.750000Z,,,20.9044120228,21.2806890571,21.2806890571,,,,350,-160.383541133
0.75,,2020-03-01T10:27:12.950000Z,193.980719337,969.903596684,1583058432.6,2020-03-01T10:27:12.600000Z,,2020-03-01T10:27:12.200000Z,,,20.6716230017,20.8255907706,21.0660684355,,,,350,-160.985115689
0.9,,2020-03-01T10:28:00.350000Z,257.224129303,1286.12064651,1583058479.95,2020-03-01T10:27:59.950000Z,,2020-03-01T10:27:59.450000Z,,,20.6982479645,20.7002140479,20.7308375263,,,,350,-159.213698575
0.55,,2020-03-01T10:28:20.650000Z,187.06891947,935.34459735,1583058500.45,2020-03-01T10:28:20.450000Z,,2020-03-01T10:28:20.100000Z,,,17.7492483769,17.8592223528,17.5578907387,,,,350,-158.939199997
0.8,,2020-03-01T10:28:40.850000Z,389.659109799,1948.295549,1583058520.5,2020-03-01T10:28:40.500000Z,,2020-03-01T10:28:40.050000Z,,,20.3665996689,20.3952000074,20.494421052,,,,350,-158.811916074
0.55,,2020-03-01T10:29:02.300000Z,197.292338618,986.461693092,1583058542.1,2020-03-01T10:29:02.100000Z,,2020-03-01T10:29:01.750000Z,,,18.0158119236,18.1126225115,18.1521997772,,,,350,-159.149616945
0.95,,2020-03-01T10:29:22.650000Z,202.118160372,1010.59080186,1583058562.2,2020-03-01T10:29:22.200000Z,,2020-03-01T10:29:21.700000Z,,,20.8761135963,21.1558409509,21.1969868564,,,,350,-160.373024938
0.6,,2020-03-01T10:29:43.450000Z,124.693308846,623.466544231,1583058583.2,2020-03-01T10:29:43.200000Z,,2020-03-01T10:29:42.850000Z,,,17.5351997662,17.6130239588,17.9687772821,,,,350,-159.381068352
1.05,,2020-03-01T10:30:03.800000Z,172.876613734,864.383068668,1583058603.35,2020-03-01T10:30:03.350000Z,,2020-03-01T10:30:02.750000Z,,,20.7094493641,20.9838001185,20.9273374116,,,,350,-161.150439284
0.75,,2020-03-01T10:31:11.800000Z,119.565309697,597.826548485,1583058671.45,2020-03-01T10:31:11.450000Z,,2020-03-01T10:31:11.050000Z,,,20.6137860822,20.794140131,20.9823201027,,,,350,-161.035108963
1.05,,2020-03-01T10:42:57.250000Z,114.830328177,574.151640885,1583059376.65,2020-03-01T10:42:56.650000Z,,2020-03-01T10:42:56.200000Z,,,21.7587747932,22.0083399688,21.9853409267,,,,350,-161.693623421
1.25,,2020-03-01T10:43:40.050000Z,91.0780958908,455.390479454,1583059419.25,2020-03-01T10:43:39.250000Z,,2020-03-01T10:43:38.800000Z,,,21.4092013045,21.8636277499,21.6237980882,,,,350,-161.76682615
0.75,,2020-03-01T10:44:15.500000Z,80.4207984503,402.103992252,1583059455.15,2020-03-01T10:44:15.150000Z,,2020-03-01T10:44:14.750000Z,,,20.6898582418,20.8302081553,20.9882085131,,,,350,-162.210137718
1.4,,2020-03-01T10:45:03.800000Z,72.3360104726,361.680052363,1583059502.85,2020-03-01T10:45:02.850000Z,,2020-03-01T10:45:02.400000Z,,,21.906283414,22.4333714983,22.027868272,,,,350,-163.279704009
0.6,,2020-03-01T10:54:12.750000Z,73.7601331255,368.800665628,1583060052.55,2020-03-01T10:54:12.550000Z,,2020-03-01T10:54:12.150000Z,,,17.9457718502,18.0293343091,18.9164982179,,,,350,-161.26150063
0.7,,2020-03-01T10:54:33.050000Z,171.964273532,859.821367662,1583060072.75,2020-03-01T10:54:32.750000Z,,2020-03-01T10:54:32.350000Z,,,20.9107344197,20.9942557124,21.3215799706,,,,350,-160.828122535
0.6,,2020-03-01T10:54:54.400000Z,81.8963053718,409.481526859,1583060094.2,2020-03-01T10:54:54.200000Z,,2020-03-01T10:54:53.800000Z,,,17.5694508893,17.5935431722,18.770560072,,,,350,-160.522878344
0.75,,2020-03-01T10:55:14.700000Z,243.08717062,1215.4358531,1583060114.4,2020-03-01T10:55:14.400000Z,,2020-03-01T10:55:13.950000Z,,,21.1678484997,21.2879727067,21.5600933547,,,,350,-160.060656435
0.6,,2020-03-01T10:55:36.600000Z,114.450642113,572.253210566,1583060136.35,2020-03-01T10:55:36.350000Z,,2020-03-01T10:55:36.000000Z,,,17.7241636013,17.8145941551,18.7338895049,,,,350,-160.209373022
0.75,,2020-03-01T10:55:56.350000Z,328.775597591,1643.87798795,1583060156.0,2020-03-01T10:55:56.000000Z,,2020-03-01T10:55:55.600000Z,,,20.4839823616,20.6411922536,20.8951393093,,,,350,-159.685819771
0.6,,2020-03-01T10:56:18.050000Z,79.117529687,395.587648435,1583060177.8,2020-03-01T10:56:17.800000Z,,2020-03-01T10:56:17.450000Z,,,18.2191205733,18.2474698014,18.9788636566,,,,350,-160.759189535
