duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold
0.56,1444096995.0,2015-10-06T02:03:15.000000Z,1022.54648476,5112.73242381,1444096994.76,2015-10-06T02:03:14.760000Z,1444096994.44,2015-10-06T02:03:14.440000Z,,,,,,,,,0.5
0.44,1444097002.52,2015-10-06T02:03:22.520000Z,3.09219721154,15.4609860577,1444097002.32,2015-10-06T02:03:22.320000Z,1444097002.08,2015-10-06T02:03:22.080000Z,,,,,,,,,0.5
0.8,1444097008.16,2015-10-06T02:03:28.160000Z,3.45484485947,17.2742242973,1444097007.92,2015-10-06T02:03:27.920000Z,1444097007.36,2015-10-06T02:03:27.360000Z,,,,,,,,,0.5
0.56,1444097013.36,2015-10-06T02:03:33.360000Z,1331.84185081,6659.20925405,1444097013.08,2015-10-06T02:03:33.080000Z,1444097012.8,2015-10-06T02:03:32.800000Z,,,,,,,,,0.5
0.6,1444097019.92,2015-10-06T02:03:39.920000Z,5.31230261495,26.5615130748,1444097019.68,2015-10-06T02:03:39.680000Z,1444097019.32,2015-10-06T02:03:39.320000Z,,,,,,,,,0.5
0.68,1444097028.44,2015-10-06T02:03:48.440000Z,2.02340738971,10.1170369485,1444097028.12,2015-10-06T02:03:48.120000Z,1444097027.76,2015-10-06T02:03:47.760000Z,,,,,,,,,0.5
0.56,1444097034.0,2015-10-06T02:03:54.000000Z,479.089174593,2395.44587297,1444097033.76,2015-10-06T02:03:53.760000Z,1444097033.44,2015-10-06T02:03:53.440000Z,,,,,,,,,0.5
0.52,1444097044.72,2015-10-06T02:04:04.720000Z,8.33985387926,41.6992693963,1444097044.48,2015-10-06T02:04:04.480000Z,1444097044.2,2015-10-06T02:04:04.200000Z,,,,,,,,,0.5
0.48,1444097052.12,2015-10-06T02:04:12.120000Z,1840.24030009,9201.20150044,1444097051.88,2015-10-06T02:04:11.880000Z,1444097051.64,2015-10-06T02:04:11.640000Z,,,,,,,,,0.5
0.56,1444097062.6,2015-10-06T02:04:22.600000Z,4.84520110187,24.2260055094,1444097062.4,2015-10-06T02:04:22.400000Z,1444097062.04,2015-10-06T02:04:22.040000Z,,,,,,,,,0.5
0.52,1444097072.56,2015-10-06T02:04:32.560000Z,466.88710395,2334.43551975,1444097072.32,2015-10-06T02:04:32.320000Z,1444097072.04,2015-10-06T02:04:32.040000Z,,,,,,,,,0.5
0.68,1444097079.08,2015-10-06T02:04:39.080000Z,4.68628979921,23.431448996,1444097078.68,2015-10-06T02:04:38.680000Z,1444097078.4,2015-10-06T02:04:38.400000Z,,,,,,,,,0.5
0.4,1444097085.36,2015-10-06T02:04:45.360000Z,4.90175978112,13.6872537863,1444097085.16,2015-10-06T02:04:45.160000Z,1444097084.96,2015-10-06T02:04:44.960000Z,,,,,,,,,0.5
0.52,1444097091.32,2015-10-06T02:04:51.320000Z,1831.64061138,9158.20305692,1444097091.04,2015-10-06T02:04:51.040000Z,1444097090.8,2015-10-06T02:04:50.800000Z,,,,,,,,,0.5
0.88,1444097098.64,2015-10-06T02:04:58.640000Z,4.28358737633,20.0065375667,1444097098.4,2015-10-06T02:04:58.400000Z,1444097097.76,2015-10-06T02:04:57.760000Z,,,,,,,,,0.5
0.48,1444097104.04,2015-10-06T02:05:04.040000Z,3.41977412907,17.0988706454,1444097103.88,2015-10-06T02:05:03.880000Z,1444097103.56,2015-10-06T02:05:03.560000Z,,,,,,,,,0.5
0.48,1444097111.16,2015-10-06T02:05:11.160000Z,555.462621552,2777.31310776,1444097110.96,2015-10-06T02:05:10.960000Z,1444097110.68,2015-10-06T02:05:10.680000Z,,,,,,,,,0.5
1.28,1444097117.64,2015-10-06T02:05:17.640000Z,1.4442153202,7.22107660102,1444097116.84,2015-10-06T02:05:16.840000Z,1444097116.36,2015-10-06T02:05:16.360000Z,,,,,,,,,0.5
0.4,1444097122.24,2015-10-06T02:05:22.240000Z,1.82704136986,9.13520684931,1444097122.08,2015-10-06T02:05:22.080000Z,1444097121.84,2015-10-06T02:05:21.840000Z,,,,,,,,,0.5
