time,frequency
1571123853.38,16.9882284335
1571123872.54,20.560152813
1571123894.28,18.2248668441
1571123914.95,20.6014321278
1571123934.91,17.1881101767
1571123954.45,20.6333323329
1571123977.6,18.304617357
1571123996.65,20.0272284351
1571124019.07,16.6768784892
1571124037.43,20.5749362009
1571124059.78,16.5577238867
1571124078.38,21.1026208693
1571124101.79,16.5577238867
1571124120.33,20.2855607376
1571124140.46,16.5275668476
1571124160.02,20.9167244457
1571124181.18,16.7156736018
1571124200.87,22.1550939109
1571124221.17,16.8410781046
1571124239.77,22.9545476162
1571124262.81,17.1495653056
1571124282.57,20.2920456443
1571124303.58,16.9468246386
1571124323.27,20.6251195972
1571124344.21,16.9902690673
1571124363.34,20.6685640259
1571124384.63,16.1937878754
1571124514.71,20.2422750971
1571124494.8,18.3767560874
1571124556.93,21.6414143543
1571124578.83,18.1837713623
1571124618.82,16.6748296915
1571124638.53,20.6246991334
1571124662.2,16.8835020394
1571124682.45,19.8645355804
1571124705.05,16.3618211697
1571124724.28,20.6097939657
1571124746.03,16.7557229534
1571124765.2,20.4258391629
1571124786.85,16.5695576384
1571124807.12,19.9870209204
1571124829.86,16.5828551609
1571124849.28,21.8345382755
1571124873.9,16.6819894543
1571124893.35,23.5380910023
1571124914.9,17.0171145809
1571124935.98,22.0579550266
1571124960.63,17.1474529807
1571124980.14,21.8737920911
1571125022.83,21.6467007225
1571125043.52,17.8429202972
1571125004.68,16.2816671376
1571125063.87,20.1401534326
1571125084.77,17.0303245441
1571125104.11,20.1831464587
