time,frequency
1571124059.59,16.6239497937
1571124078.42,21.0716578426
1571124101.83,16.5426966974
1571124120.2,21.0014670632
1571124140.35,16.6210926599
1571124159.98,20.7074822039
1571124181.19,16.7464655844
1571124200.8,21.9862153161
1571124221.14,16.8002617829
1571124239.79,21.8571044397
1571124262.4,17.1681438029
1571124282.51,20.3366641239
1571124303.69,16.9528074704
1571124323.25,20.566563946
1571124344.06,16.9932840584
1571124362.93,20.844485715
1571124384.3,16.3183311908
1571124494.78,18.3632118296
1571124514.63,20.3397801361
1571124536.68,17.3404526477
1571124556.48,21.6957979277
1571124578.73,18.1218866294
1571124618.63,16.7231041675
1571124638.46,20.6698443431
1571124662.04,16.9381016868
1571124682.52,19.9592612668
1571124704.7,16.3766647933
1571124724.22,20.5622725545
1571124745.97,16.9087335765
1571124764.96,20.3123775826
1571124786.66,16.6724985144
1571124807.0,20.0100234108
1571124829.5,16.6027244747
1571124849.26,23.0742110108
1571124873.87,16.7256080206
1571124892.99,24.2318257595
1571124915.17,17.0180580624
1571124935.91,21.6687669691
1571124960.55,17.1754913035
1571124980.28,21.8735543318
1571125004.68,16.320202906
1571125022.72,21.3063029351
1571125043.35,17.8332083037
1571125064.02,20.0531244598
1571125084.99,16.8545355897
1571125103.96,20.2170677189
1571125142.32,20.5894184951
1605477620.91,18.6577193368
1605477630.82,21.1914167137
1605477652.8,16.2017427382
1605477671.42,21.2691374921
1605477695.93,18.0551583043
1605477712.36,22.7398654336
1605477736.36,16.5651798191
1605477742.82,21.4512353923
1605477756.45,22.2700523977
1605477775.59,15.9342880281
1605477796.43,20.6456951052
1605477818.95,16.1929782205
1605477840.1,22.0458412077
1605477860.9,19.3590743623
1605477881.33,19.9046564362
1605477903.45,19.5952244824
1605477923.86,20.1035769779
1605477944.2,16.9097971693
1605477963.98,21.3855861019
1605477985.23,16.8418926507
1605478004.8,19.5278781023
1605478026.47,16.8773902558
1605478046.39,22.2708564659
1605478066.64,16.4874259012
1605478084.83,22.2577123055
1605478108.4,16.5137142219
1605478129.09,20.3535898617
1605478153.17,19.3508662388
1605478173.36,20.0078230952
1605478194.04,17.3223678751
1441513874.54,15.7118437118
1441513965.55,23.1746806985
1441513975.19,20.7334534954
1441514008.19,15.9603077698
1441514015.16,23.4661705138
1441514011.92,15.687036068
1441513963.09,20.9156346299
1441513977.61,16.6525960812
1441514050.16,15.875538381
1441514059.12,19.8959867971
1441514054.54,21.0117940667
1441514113.08,23.7570341746
1441514166.26,22.2162171027
1441514163.5,19.6782043082
1441514151.24,17.9015953521
1441514147.59,17.0858055254
1441514186.97,22.2887317539
1441514203.58,23.4308375114
1441514177.67,16.3787876755
1441514225.8,17.3099986433
1441514232.08,22.7494025443
1441514241.31,23.6859209167
1441514254.73,22.2188409881
1441514279.14,22.1151080638
1441514292.33,23.3210815775
1441514295.29,22.1174039636
1441514316.46,22.3916596224
1441514310.02,22.4068960479
1441514319.85,22.1326403891
1441514468.07,22.308468436
1441514477.95,20.8741557076
1441514482.97,19.5354638277
1441514509.63,17.2405634623
1441514486.29,21.447880799
1441514541.77,22.2606580117
1441514582.13,22.9908908932
1441514585.82,21.3881177686
1441514598.53,22.3835242354
1441514606.41,24.2562380968
1441514600.66,24.2731093928
1441514603.4,23.8344556956
1441514609.81,22.2654251631
1441514647.29,16.1828651649
1441514650.03,16.1521028317
1441514653.11,22.6275739732
1441514658.43,22.0892331419
1441514661.54,20.2896366489
1441514655.78,20.9817891462
1441514664.86,19.858963984
1441514677.35,20.8895021466
1441514682.64,21.6893228102
1441514686.0,21.2125066454
1441514689.32,21.0279326461
1441514719.25,17.1897443657
1441514753.48,21.6631634615
1441514750.49,22.3621351953
1441514756.57,21.6320980511
1441514763.7,15.7607354878
1441514790.77,17.256534998
1441514792.49,22.6882841197
1441514795.51,20.719494794
1441514798.0,21.4577907912
1441514801.5,21.5984186001
1441514808.62,23.3914231646
1441514814.88,20.0163557491
1441514817.74,23.3386877362
1441514825.97,22.7585980242
1441514829.07,21.7917818375
1441514831.39,23.3562662123
1441514835.52,21.7390464091
1441514838.21,21.9851450748
1441514841.77,23.2683738317
1441514804.89,19.9636203208
1446152409.22,19.9713805682
1446152412.58,21.325865409
1446152415.67,16.242149578
1446152418.72,21.3082746968
1446152422.52,18.1243557853
1446152427.52,19.9713805682
1446152430.75,21.5897260922
1446152433.35,20.4111483736
1446152436.67,21.2906839845
1446152440.47,23.3312066018
1446152449.58,19.1094356695
1446152453.16,16.5411916857
1446152455.9,20.8685068913
1446152467.35,21.8008146389
1446152470.4,21.6952703655
1446152473.58,21.4314096823
1446152480.79,23.1377087674
1446152495.1,27.0238818932
1446152501.2,20.185053421
1446152517.37,21.633847004
1446152522.37,16.0029688517
1446152750.61,22.5407742499
1446152770.59,22.5552812244
1446152777.37,19.059100356
1446152781.27,16.433337961
1446152796.01,21.9103241966
1446152799.02,21.3330485066
1446152801.95,20.4029932283
1446152815.31,16.8591619092
1446152818.22,21.2047650199
1446152821.47,16.4262051418
1446152833.57,21.7178989666
1446152836.44,21.5094383007
1446152839.2,21.5094383007
1446152842.8,20.9000917391
1446152853.96,16.6600697725
1446152856.65,21.3252553652
1446152860.08,16.1476062036
1446152872.11,21.5549804133
1446152874.93,21.5196380982
1446152877.65,21.5019669407
1446152893.24,16.7130832451
1446152896.1,20.0529320217
1446152899.37,16.3419889366
1446152910.1,21.8406954113
1446152913.2,21.7121974038
1446152915.86,21.358827883
1446152929.53,16.6686506077
1446152936.81,22.6598702094
1446152956.24,22.5634967038
1446152970.76,22.5956212056
1446153027.62,21.7654761905
